うへ,帝・その奥様
おほやけ,朝廷・帝
うち,宮中・帝
御前,お側
みゆき,お出かけ・お出まし
たより,よりどころ・つて・よい機会
物語,世間話・雑談
ためし,先例
いそぎ,準備
用意,気配り
かたち,容貌
かげ,光・姿・陰
けしき,様子・期限・意向
こころざし,意向・愛情・お礼の贈り物
ほい,かねてからの願い
こと（言）,言葉・和歌
わざ（業）,こと・葬儀
よろづ（万）,さまざま・何事につけても
ことわり,道理
僻事（ひがごと）,間違い
そらごと,嘘
しるし,効き目・ご利益・きざし
料,ため
ろく（禄）,ほうび
としごろ,数年・長年
つとめて,早朝・翌朝
世・世の中,男女の仲・夫婦の仲
いかで・いかでか,どうして（疑問・反語）・なんとかして
いかが・いかに,どのように・どうして（疑問・反語）・どんなにか
など・などか・なじて・なじかは,どうして
いつしか,いつの間にか・早く～ほしい
おのづから,自然と・たまたま・もしかして（＋推定）
なほ,なんといってもやはり・それでもやはり・さらに
いとど,ますます
げに,本当に・なるほど
かく,このように
さ,そのように
しか,そのように
と,あのように
やがて,そのまま・すぐに
すなはち,すぐに・つまり・言い換えれば
やうやう・やうやく,しだいに・やっと
やをら・やはら,そっと・静かに
なかなか（に）,中途半端に・かえって
さすがに,そうはいってもやはり・なんといってもやはり
かたみに,互いに
うたて,いやな感じに・異様に怪しく
なべて,一般に・並一通り
わざと,わざわざ・特に・正式な
あまた,たくさん
ここら・そこら,たくさん・たいそう
え～打消,～できない
な～そ,～するな・～してはいけない（禁止）
おほかた～打消,まったく～ない・（打消なしで）だいたい
さらに～打消,まったく～ない
よに～打消,まったく～ない・（打消なしで）実に
たえて～打消,まったく～ない
つゆ～打消,少しも～ない
ゆめ・ゆめゆめ～（打消・禁止）,決して～ない・決して～するな
つやつや～打消,まったく～ない
をさをさ～打消,ほとんど～ない
よも～（打消推量）,まさか～ないだろう
あなかしこ～（禁止）,決して～するな
ためらふ,気持ちを静める
やすらふ,ためらう・立ち止まる
かたらふ,語り合う・親しく交際する・（男女が）契る・説得する
住む,（女のもとに）通う
やむ,終わる
うつろふ,色あせる
みいだす,外を見る
もてなす,振る舞う・取り扱う
あつかふ,面倒を見る・もてあます
あくがる,さまよい出る・浮かれ歩く
あふ,結婚する・（打消を伴い）耐えられない・（動詞＋打消）～きれない
しほたる,涙を流す
かきくらす,空を暗くする・悲しみに暮れる
まどふ,迷う・（動詞について）ひどく～する
たばかる,工夫する・だます
すさぶ,興じる・気の向くままに（何かを）する
すまふ,抵抗する・断る
まねぶ,まねる・伝える
ねぶ,年をとる・大人になる
おきつ,心に決めておく・指図する
うれふ,（嘆き）訴える
むすぶ,～できる・すくう
とぶらふ,訪ねる・見舞う・弔う
やつす,質素にする・出家する
さはる,差し支える・妨げられる
かしこまる,恐縮する・恐縮して正座する
かこつ,嘆く
わく,理解する
つつむ,遠慮する
あらまほし,望ましい
らうらうじ,巧みだ・上品だ
うるせし,巧みだ・賢い
はかばかし,しっかりしている・はっきりしている
をさをさし,しっかりしている・大人びている
さうなし,比べるものがない・すばらしい
くまなし,影がない・何でも知っている
ずちなし,どうしようもない